| ID | Pregunta                                                               | Documento esperado                        | Tema               | Respuesta esperada                                                                                                    |
| -: | ---------------------------------------------------------------------- | ----------------------------------------- | ------------------ | --------------------------------------------------------------------------------------------------------------------- |
|  1 | ¿Cuál es el objetivo de la política de privacidad?                     | 01_Politica_Privacidad_Datos_Paciente.pdf | Objetivo           | Establecer lineamientos para el tratamiento y protección de los datos personales y clínicos de los pacientes.         |
|  2 | ¿A quién aplica esta política?                                         | 01_Politica_Privacidad_Datos_Paciente.pdf | Alcance            | Aplica al personal clínico, administrativo, proveedores autorizados y terceros con acceso a información de pacientes. |
|  3 | ¿Qué tipos de datos recopila la clínica?                               | 01_Politica_Privacidad_Datos_Paciente.pdf | Datos              | Datos de identificación, contacto, antecedentes médicos, resultados de exámenes e información administrativa.         |
|  4 | ¿Para qué utiliza la clínica la información del paciente?              | 01_Politica_Privacidad_Datos_Paciente.pdf | Uso                | Para la atención médica, coordinación de citas, continuidad de tratamientos y procesos administrativos.               |
|  5 | ¿Cómo protege la clínica la información del paciente?                  | 01_Politica_Privacidad_Datos_Paciente.pdf | Seguridad          | Mediante controles de acceso, contraseñas, perfiles de usuario y copias de seguridad.                                 |
|  6 | ¿Quién puede acceder a los datos del paciente?                         | 01_Politica_Privacidad_Datos_Paciente.pdf | Acceso             | Solo el personal autorizado según sus funciones.                                                                      |
|  7 | ¿Puede un paciente solicitar la actualización de sus datos?            | 01_Politica_Privacidad_Datos_Paciente.pdf | Derechos           | Sí, puede solicitar acceso, actualización o corrección de sus datos.                                                  |
|  8 | ¿Puede un paciente consultar el tratamiento de su información?         | 01_Politica_Privacidad_Datos_Paciente.pdf | Derechos           | Sí, conforme a la normativa aplicable.                                                                                |
|  9 | ¿Durante cuánto tiempo se conservan los datos?                         | 01_Politica_Privacidad_Datos_Paciente.pdf | Conservación       | Durante los plazos establecidos por la legislación vigente.                                                           |
| 10 | ¿Qué ocurre con los datos cuando ya no es necesario conservarlos?      | 01_Politica_Privacidad_Datos_Paciente.pdf | Conservación       | Son eliminados o anonimizados cuando corresponde.                                                                     |
| 11 | ¿Qué sucede si un colaborador divulga información de un paciente?      | 01_Politica_Privacidad_Datos_Paciente.pdf | Responsabilidades  | Se considera una falta grave y puede dar lugar a sanciones.                                                           |
| 12 | ¿Qué responsabilidades tienen los colaboradores?                       | 01_Politica_Privacidad_Datos_Paciente.pdf | Responsabilidades  | Mantener la confidencialidad y proteger la información del paciente.                                                  |
| 13 | ¿Qué datos médicos almacena la clínica?                                | 01_Politica_Privacidad_Datos_Paciente.pdf | Datos              | Antecedentes médicos y resultados de exámenes, entre otros.                                                           |
| 14 | ¿Para qué se recopilan los datos administrativos?                      | 01_Politica_Privacidad_Datos_Paciente.pdf | Uso                | Para apoyar la gestión administrativa y el cumplimiento de obligaciones legales.                                      |
| 15 | ¿Qué medidas técnicas utiliza la clínica para proteger la información? | 01_Politica_Privacidad_Datos_Paciente.pdf | Seguridad          | Controles de acceso, perfiles de usuario, contraseñas y respaldos de información.                                     |
| 16 | ¿Cómo puede un paciente realizar consultas sobre esta política?        | 01_Politica_Privacidad_Datos_Paciente.pdf | Contacto           | A través del Responsable de Protección de Datos utilizando los canales oficiales.                                     |
| 17 | ¿Existe un responsable de protección de datos?                         | 01_Politica_Privacidad_Datos_Paciente.pdf | Contacto           | Sí, la clínica dispone de un Responsable de Protección de Datos.                                                      |
| 18 | ¿Qué versión tiene el documento?                                       | 01_Politica_Privacidad_Datos_Paciente.pdf | Control documental | Versión 1.0.                                                                                                          |
| 19 | ¿Cuál es la fecha de emisión del documento?                            | 01_Politica_Privacidad_Datos_Paciente.pdf | Control documental | Julio de 2026.                                                                                                        |
| 20 | ¿Cuál es el propósito general de la política?                          | 01_Politica_Privacidad_Datos_Paciente.pdf | Objetivo           | Garantizar la confidencialidad, integridad y disponibilidad de la información de los pacientes.                       |
| 21 | ¿Cuál es el valor de una consulta médica?      | No encuentro esa información en los documentos disponibles de la clínica. |
| 22 | ¿Qué especialidades médicas ofrece la clínica? | No encuentro esa información en los documentos disponibles de la clínica. |
| 23 | ¿Quién es el director de la clínica?           | No encuentro esa información en los documentos disponibles de la clínica. |
| 24 | ¿Cuál es el horario de urgencias?              | No encuentro esa información en los documentos disponibles de la clínica. |
| 25 | ¿Dónde está ubicada la clínica?                | No encuentro esa información en los documentos disponibles de la clínica. |
| 26 | ¿Cómo puedo solicitar una consulta médica?                        | 02_FAQ_Consultas_Turnos.pdf | Agendamiento    | La consulta puede solicitarse por teléfono, sitio web o de forma presencial.                          |
| 27 | ¿Cómo confirmo mi turno?                                          | 02_FAQ_Consultas_Turnos.pdf | Confirmación    | La clínica envía una confirmación al correo electrónico o teléfono registrado.                        |
| 28 | ¿Puedo cambiar la fecha de una consulta?                          | 02_FAQ_Consultas_Turnos.pdf | Reagendamiento  | Sí, el cambio está sujeto a la disponibilidad de agenda y a la política de reagendamiento.            |
| 29 | ¿Qué ocurre si llego tarde a mi cita?                             | 02_FAQ_Consultas_Turnos.pdf | Puntualidad     | Si el retraso es significativo, la atención podrá ser reprogramada.                                   |
| 30 | ¿Con cuánto tiempo de anticipación debo llegar?                   | 02_FAQ_Consultas_Turnos.pdf | Puntualidad     | Se recomienda llegar al menos 15 minutos antes de la hora programada.                                 |
| 31 | ¿Qué documentos debo presentar el día de la consulta?             | 02_FAQ_Consultas_Turnos.pdf | Documentación   | Debe presentar documento de identidad, orden médica cuando corresponda y antecedentes relevantes.     |
